검색조건
대출기간,2024-01-01 ~ 2024-10-29
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-10-30
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"143","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","2","9788970129822","04840","843.6","13,573",
"144","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ","지은이: 김초엽","허블","2019","","9791190090018","03810","813.7","13,562",
"145","긴긴밤 ","루리 글·그림","문학동네","2021","","9788954677158","73810","813.7","13,502",
"146","당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘 ","아르투어 쇼펜하우어 지음 ;김욱 편역","콘텐츠그룹 포레스트","2023","","9791192625553","03100","165.47","13,487",
"147","황금종이 :조정래 장편소설 ","저자: 조정래","해냄(해냄출판사)","2023","2","9791167140739","04810","813.62","13,475",
"148","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","13","9791190630184","67400","408","13,419",
"149","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","3","9791130696577","74810","813.7","13,415",
"150","비스킷 ","글: 김선미","위즈덤하우스","2023","","9791168127630","43810","813.7","13,346",
"151","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","14","9791190908184","67400","408","13,321",
"152","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","7","9791162339466","74830","833.6","13,315",
"153","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ","제임스 클리어 지음 ;이한이 옮김","비즈니스북스","2019","","9791162540640","03190","181.845","13,300",
"154","눈에 갇힌 외딴 산장에서","히가시노 게이고 (지은이), 김난주 (옮긴이)","재인","2023","","9791192483191","","","13,294",
"155","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","17","9791165382940","74910","911","13,276",
"156","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","12","9791190305310","67400","408","13,258",
"157","눈부신 안부 :백수린 장편소설 ","지은이: 백수린","문학동네","2023","","9788954699372","03810","813.7","13,233",
"158","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","23","9791191496642","74910","911","13,209",
"159","시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals ","저자: 송길영","교보문고","2023","","9791170610359","03320","331.544","13,148",
"160","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","11","9791190182737","67400","408","13,110",
"161","남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집 ","아르투어 쇼펜하우어 지음 ;박제헌 옮김","Page2(페이지2북스)","2023","","9791169850445","03100","165.47","13,097",
"162","(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업 ","김미경 지음","엠케이유니버스","2023","","9791198013026","03320","325.211","13,082",
"163","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","8","9791164131914","74830","833.6","13,065",
"164","당연하게도 나는 너를 :이꽃님 장편소설 ","지은이: 이꽃님","우리학교","2023","","9791167550972","43810","813.7","13,054",
"165","시선으로부터, :정세랑 장편소설 ","지은이: 정세랑","문학동네","2020","","9788954672214","03810","813.7","13,037",
"166","메리골드 마음 사진관 =윤정은 장편소설 /Marigold mind photo studio ","글: 윤정은","책읽어주는남자","2024","","9791198530325","03810","813.7","13,028",
"167","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","21","9791191496208","74910","911","13,019",
"168","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","15","9791191766318","67400","408","13,016",
"169","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","2","9791164060498","74830","833.6","13,014",
"170","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","9","9791188874262","74910","911","12,974",
"171","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","16","9791168120266","67400","408","12,962",
"172","타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ","팀 페리스 지음 ;정지현 옮김","Tornado(토네이도)","2017","","9791158510619","03190","325.211","12,932",
"173","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","22","9791191496604","74910","911","12,920",
"174","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","17","9791164065097","73830","833.6","12,809",
"175","수상한 놀이공원 천옥원","글: 히로시마 레이코 ;옮긴이: 김정화","길벗스쿨","2023","","9791164065547","73830","833.6","12,746",
